driver_id,driver_name,city,vehicle_type,rating,status
D101,Pooja,Mumbai,Sedan,4.5,Active
D102,Pooja,Delhi,SUV,3.8,Active
D103,Suresh,Delhi,Hatchback,4.9,Active
D104,Karan,Delhi,Hatchback,3.3,Active
D105,Rahul,Bangalore,SUV,4.3,Inactive
D106,Ravi,Mumbai,Sedan,4.1,Active
D107,Rahul,Bangalore,Hatchback,3.6,Active
D108,Vikram,Delhi,Hatchback,3.2,Active
D109,Priya,Bangalore,SUV,3.7,Active
D110,Priya,Mumbai,Sedan,3.7,Active
D111,Neha,Mumbai,Hatchback,3.5,Active
D112,Anjali,Delhi,SUV,3.9,Inactive
D113,Anjali,Delhi,Sedan,3.0,Inactive
D114,Suresh,Bangalore,SUV,3.8,Active
D115,Anjali,Delhi,Sedan,4.9,Inactive
D116,Vikram,Mumbai,Hatchback,3.8,Active
D117,Neha,Delhi,Hatchback,3.4,Active
D118,Ravi,Delhi,Sedan,3.5,Active
D119,Rahul,Delhi,Hatchback,3.8,Active
D120,Ravi,Bangalore,Hatchback,3.2,Active
D121,Rahul,Mumbai,SUV,4.9,Inactive
D122,Karan,Mumbai,SUV,3.7,Active
D123,Vikram,Bangalore,Hatchback,3.8,Active
D124,Neha,Bangalore,Hatchback,3.2,Active
D125,Karan,Delhi,Sedan,4.7,Active
D126,Amit,Delhi,Hatchback,4.5,Active
D127,Rahul,Delhi,SUV,4.4,Active
D128,Vikram,Delhi,Hatchback,4.2,Active
D129,Amit,Bangalore,SUV,4.3,Active
D130,Rahul,Bangalore,Sedan,3.5,Active
D131,Suresh,Mumbai,SUV,3.5,Active
D132,Vikram,Mumbai,Hatchback,3.5,Active
D133,Anjali,Delhi,SUV,3.7,Active
D134,Karan,Mumbai,Hatchback,4.8,Active
D135,Suresh,Mumbai,Sedan,4.9,Active
D136,Anjali,Delhi,SUV,4.4,Active
D137,Priya,Mumbai,Sedan,4.3,Inactive
D138,Vikram,Mumbai,SUV,4.1,Active
D139,Rahul,Bangalore,SUV,4.1,Inactive
D140,Anjali,Bangalore,Hatchback,3.9,Inactive
D141,Priya,Mumbai,Sedan,4.1,Inactive
D142,Karan,Mumbai,SUV,4.9,Active
D143,Karan,Bangalore,Hatchback,3.1,Active
D144,Priya,Mumbai,Sedan,4.1,Active
D145,Karan,Bangalore,Hatchback,3.2,Inactive
D146,Neha,Delhi,SUV,3.2,Active
D147,Anjali,Delhi,Sedan,3.3,Active
D148,Karan,Bangalore,SUV,3.8,Active
D149,Amit,Bangalore,Hatchback,4.2,Active
D150,Rahul,Mumbai,Hatchback,4.1,Active
D151,Karan,Delhi,SUV,3.4,Active
D152,Ravi,Bangalore,SUV,3.6,Inactive
D153,Rahul,Mumbai,Hatchback,3.9,Active
D154,Anjali,Mumbai,Hatchback,5.0,Active
D155,Suresh,Delhi,Hatchback,4.7,Inactive
D156,Vikram,Delhi,Hatchback,4.4,Active
D157,Suresh,Mumbai,Sedan,4.7,Inactive
D158,Ravi,Mumbai,SUV,3.1,Active
D159,Ravi,Delhi,SUV,3.8,Inactive
D160,Ravi,Mumbai,Sedan,4.4,Active
D161,Rahul,Bangalore,Hatchback,3.3,Inactive
D162,Priya,Delhi,Sedan,3.6,Active
D163,Pooja,Mumbai,SUV,4.3,Active
D164,Rahul,Bangalore,SUV,3.7,Active
D165,Anjali,Delhi,Hatchback,4.7,Active
D166,Ravi,Mumbai,Sedan,3.9,Inactive
D167,Rahul,Delhi,Hatchback,4.6,Active
D168,Suresh,Bangalore,SUV,4.0,Active
D169,Anjali,Bangalore,SUV,3.9,Inactive
D170,Pooja,Bangalore,Hatchback,3.9,Active
D171,Vikram,Delhi,SUV,5.0,Active
D172,Karan,Delhi,Sedan,3.8,Active
D173,Ravi,Delhi,Hatchback,4.1,Active
D174,Rahul,Bangalore,SUV,3.7,Inactive
D175,Priya,Mumbai,Sedan,4.5,Inactive
D176,Anjali,Bangalore,SUV,3.3,Active
D177,Anjali,Bangalore,SUV,3.3,Active
D178,Vikram,Bangalore,Hatchback,3.2,Inactive
D179,Suresh,Delhi,Hatchback,4.3,Active
D180,Karan,Bangalore,Sedan,4.6,Inactive
D181,Ravi,Bangalore,SUV,4.4,Active
D182,Priya,Bangalore,Sedan,4.8,Active
D183,Rahul,Mumbai,Sedan,4.3,Active
D184,Karan,Bangalore,Hatchback,3.4,Active
D185,Vikram,Delhi,Sedan,4.2,Active
D186,Suresh,Bangalore,SUV,5.0,Active
D187,Pooja,Mumbai,SUV,4.4,Active
D188,Karan,Mumbai,Hatchback,4.7,Active
D189,Pooja,Mumbai,Hatchback,4.0,Active
D190,Vikram,Bangalore,Hatchback,3.0,Active
D191,Priya,Bangalore,SUV,3.0,Active
D192,Neha,Bangalore,Hatchback,3.8,Active
D193,Ravi,Mumbai,Hatchback,3.8,Active
D194,Ravi,Mumbai,Hatchback,3.2,Inactive
D195,Karan,Bangalore,Hatchback,4.8,Active
D196,Pooja,Delhi,SUV,3.6,Active
D197,Karan,Mumbai,SUV,3.8,Active
D198,Karan,Delhi,Sedan,3.5,Active
D199,Rahul,Bangalore,SUV,4.8,Active
D200,Pooja,Delhi,SUV,3.8,Active
D201,Priya,Delhi,Hatchback,4.6,Inactive
D202,Vikram,Delhi,Hatchback,4.6,Active
D203,Anjali,Mumbai,Hatchback,3.7,Active
D204,Rahul,Bangalore,Hatchback,3.4,Active
D205,Priya,Delhi,Hatchback,4.7,Active
D206,Suresh,Bangalore,Sedan,4.2,Active
D207,Neha,Bangalore,Sedan,4.2,Inactive
D208,Karan,Bangalore,Sedan,4.9,Active
D209,Vikram,Bangalore,Hatchback,3.2,Active
D210,Suresh,Mumbai,Hatchback,4.6,Active
D211,Suresh,Mumbai,Sedan,4.2,Active
D212,Anjali,Bangalore,Sedan,4.8,Active
D213,Priya,Bangalore,Hatchback,3.9,Active
D214,Suresh,Delhi,Sedan,4.8,Active
D215,Vikram,Mumbai,Sedan,5.0,Inactive
D216,Ravi,Mumbai,Sedan,3.4,Active
D217,Pooja,Delhi,SUV,3.0,Active
D218,Suresh,Bangalore,SUV,3.6,Active
D219,Ravi,Bangalore,Sedan,3.8,Active
D220,Amit,Mumbai,Sedan,4.9,Active
D221,Suresh,Bangalore,Sedan,4.2,Active
D222,Amit,Bangalore,Sedan,4.9,Active
D223,Neha,Bangalore,SUV,3.4,Active
D224,Priya,Bangalore,SUV,3.5,Active
D225,Anjali,Mumbai,SUV,4.7,Inactive
D226,Karan,Bangalore,Sedan,3.4,Active
D227,Amit,Mumbai,Hatchback,4.1,Inactive
D228,Priya,Delhi,Hatchback,4.3,Active
D229,Anjali,Mumbai,Hatchback,4.9,Active
D230,Amit,Bangalore,SUV,3.5,Active
D231,Amit,Bangalore,Sedan,4.5,Inactive
D232,Pooja,Bangalore,Sedan,4.7,Active
D233,Pooja,Delhi,Hatchback,3.0,Active
D234,Neha,Mumbai,Sedan,3.5,Active
D235,Ravi,Bangalore,SUV,3.8,Active
D236,Vikram,Delhi,Sedan,3.5,Active
D237,Vikram,Bangalore,Hatchback,4.3,Active
D238,Pooja,Mumbai,Sedan,3.5,Active
D239,Pooja,Bangalore,Hatchback,4.4,Active
D240,Karan,Bangalore,SUV,4.7,Active
D241,Karan,Mumbai,Hatchback,3.1,Active
D242,Ravi,Delhi,Sedan,4.0,Active
D243,Amit,Bangalore,Sedan,3.5,Active
D244,Priya,Mumbai,Sedan,3.6,Active
D245,Rahul,Delhi,Hatchback,3.3,Active
D246,Neha,Delhi,Hatchback,3.9,Active
D247,Vikram,Bangalore,Hatchback,3.4,Active
D248,Suresh,Mumbai,Hatchback,4.6,Inactive
D249,Priya,Delhi,Hatchback,3.8,Active
D250,Amit,Delhi,Sedan,3.9,Inactive
D251,Vikram,Bangalore,Sedan,4.4,Active
D252,Rahul,Bangalore,Hatchback,3.8,Active
D253,Ravi,Delhi,Sedan,3.0,Inactive
D254,Karan,Bangalore,SUV,3.6,Active
D255,Neha,Mumbai,Hatchback,3.9,Active
D256,Karan,Delhi,SUV,3.7,Active
D257,Ravi,Mumbai,SUV,3.1,Inactive
D258,Pooja,Mumbai,Hatchback,4.1,Active
D259,Vikram,Delhi,Hatchback,3.2,Active
D260,Priya,Bangalore,Hatchback,4.2,Active
D261,Vikram,Mumbai,SUV,4.3,Active
D262,Ravi,Bangalore,Sedan,3.5,Active
D263,Pooja,Bangalore,SUV,4.4,Active
D264,Vikram,Delhi,Hatchback,3.3,Active
D265,Pooja,Bangalore,SUV,4.2,Active
D266,Anjali,Bangalore,Sedan,4.7,Active
D267,Anjali,Mumbai,Hatchback,4.2,Active
D268,Pooja,Delhi,SUV,3.1,Active
D269,Vikram,Delhi,Sedan,3.3,Active
D270,Amit,Delhi,Hatchback,4.0,Active
D271,Anjali,Bangalore,SUV,4.0,Active
D272,Amit,Mumbai,Hatchback,3.5,Inactive
D273,Rahul,Mumbai,Sedan,3.2,Active
D274,Vikram,Mumbai,Sedan,3.9,Active
D275,Vikram,Delhi,SUV,4.7,Active
D276,Vikram,Bangalore,Hatchback,4.7,Inactive
