trip_id,driver_id,rider_id,city,pickup_zone,drop_zone,request_time,pickup_time,drop_time,distance_km,fare,status,cancellation_reason
T1001,D289,R1189,Bangalore,Koramangala,HSR Layout,2023-10-03 16:43:00,2023-10-03 16:53:00,2023-10-03 18:21:00,23.6,466,Completed,
T1002,D132,R4054,Mumbai,Powai,Colaba,2023-10-16 08:42:00,2023-10-16 08:55:00,2023-10-16 09:41:00,13.8,353,Completed,
T1003,D159,R4351,Delhi,Dwarka,Saket,2023-10-29 15:27:00,2023-10-29 15:39:00,2023-10-29 16:48:00,19.1,337,Completed,
T1004,D344,R1669,Delhi,Rohini,Saket,2023-10-21 08:58:00,2023-10-21 09:11:00,2023-10-21 09:54:00,16.4,312,Completed,
T1005,D114,R4509,Bangalore,Koramangala,Whitefield,2023-10-02 05:56:00,2023-10-02 06:04:00,2023-10-02 06:19:00,4.6,137,Completed,
T1006,D135,R1796,Mumbai,Colaba,Powai,2023-10-26 19:00:00,2023-10-26 19:06:00,2023-10-26 19:37:00,9.5,236,Completed,
T1007,D260,R2389,Bangalore,Indiranagar,HSR Layout,2023-10-20 11:19:00,2023-10-20 11:29:00,2023-10-20 12:14:00,17.2,457,Completed,
T1008,D348,R2717,Bangalore,HSR Layout,Whitefield,2023-10-11 10:42:00,2023-10-11 10:45:00,2023-10-11 11:30:00,11.4,245,Completed,
T1009,D231,R1578,Bangalore,HSR Layout,Indiranagar,2023-10-20 16:57:00,2023-10-20 17:11:00,2023-10-20 17:34:00,7.3,228,Completed,
T1010,D173,R2370,Delhi,Dwarka,Vasant Kunj,2023-10-18 07:52:00,2023-10-18 08:02:00,2023-10-18 09:37:00,24.3,615,Completed,
T1011,D316,R2876,Bangalore,HSR Layout,Whitefield,2023-10-25 02:13:00,2023-10-25 02:21:00,2023-10-25 02:41:00,6.8,198,Completed,
T1012,D237,R3384,Bangalore,Jayanagar,HSR Layout,2023-10-03 01:57:00,2023-10-03 02:07:00,2023-10-03 02:43:00,9.8,227,Completed,
T1013,D172,R2934,Delhi,Connaught Place,Saket,2023-10-23 20:21:00,2023-10-23 20:35:00,2023-10-23 21:31:00,19.4,382,Completed,
T1014,D141,R2473,Mumbai,Colaba,Andheri,2023-10-09 17:30:00,2023-10-09 17:39:00,2023-10-09 18:09:00,8.7,186,Completed,
T1015,D291,R3732,Delhi,Saket,Dwarka,2023-10-30 07:53:00,2023-10-30 08:06:00,2023-10-30 08:39:00,12.1,235,Completed,
T1016,D101,R4887,Mumbai,Colaba,Bandra,2023-10-07 14:27:00,2023-10-07 14:39:00,2023-10-07 15:31:00,16.7,381,Completed,
T1017,D309,R3586,Mumbai,Colaba,Bandra,2023-10-20 20:14:00,2023-10-20 20:26:00,2023-10-20 21:12:00,15.7,404,Completed,
T1018,D136,R2494,Delhi,Dwarka,Rohini,2023-10-07 17:34:00,2023-10-07 17:48:00,2023-10-07 17:58:00,2.8,113,Completed,
T1019,D210,R2218,Mumbai,Powai,Andheri,2023-10-08 09:15:00,2023-10-08 09:23:00,2023-10-08 10:16:00,14.3,322,Completed,
T1020,D337,R4486,Mumbai,Powai,Andheri,2023-10-29 11:39:00,,,0.0,0.0,Cancelled,Rider Cancelled
T1021,D186,R1056,Bangalore,Whitefield,Indiranagar,2023-10-14 19:43:00,2023-10-14 19:58:00,2023-10-14 20:58:00,20.3,373,Completed,
T1022,D289,R2898,Bangalore,Jayanagar,Indiranagar,2023-10-13 07:13:00,2023-10-13 07:22:00,2023-10-13 07:44:00,8.3,183,Completed,
T1023,D145,R3169,Bangalore,Indiranagar,Jayanagar,2023-10-16 07:00:00,2023-10-16 07:11:00,2023-10-16 07:52:00,14.0,381,Completed,
T1024,D164,R1709,Bangalore,Indiranagar,HSR Layout,2023-10-23 02:37:00,2023-10-23 02:42:00,2023-10-23 03:49:00,22.0,425,Completed,
T1025,D133,R3456,Delhi,Rohini,Saket,2023-10-13 09:44:00,,,0.0,0.0,Cancelled,Payment Issue
T1026,D102,R3309,Delhi,Rohini,Vasant Kunj,2023-10-13 08:31:00,2023-10-13 08:34:00,2023-10-13 08:42:00,2.3,85,Completed,
T1027,D169,R2006,Bangalore,Jayanagar,HSR Layout,2023-10-11 21:38:00,2023-10-11 21:52:00,2023-10-11 22:09:00,6.5,166,Completed,
T1028,D169,R1975,Bangalore,Indiranagar,Whitefield,2023-10-04 14:03:00,2023-10-04 14:15:00,2023-10-04 14:24:00,3.4,111,Completed,
T1029,D328,R3529,Mumbai,Powai,Andheri,2023-10-08 09:12:00,2023-10-08 09:15:00,2023-10-08 10:21:00,20.2,362,Completed,
T1030,D301,R3677,Bangalore,Indiranagar,Koramangala,2023-10-11 13:41:00,2023-10-11 13:56:00,2023-10-11 14:56:00,16.2,406,Completed,
T1031,D212,R3348,Bangalore,Koramangala,Indiranagar,2023-10-07 14:37:00,2023-10-07 14:49:00,2023-10-07 16:02:00,21.6,452,Completed,
T1032,D142,R1933,Mumbai,Bandra,Colaba,2023-10-13 11:39:00,2023-10-13 11:49:00,2023-10-13 13:01:00,21.6,496,Completed,
T1033,D281,R4145,Delhi,Saket,Connaught Place,2023-10-11 23:55:00,2023-10-12 00:03:00,2023-10-12 00:23:00,7.2,172,Completed,
T1034,D184,R1894,Bangalore,Koramangala,Indiranagar,2023-10-05 05:30:00,2023-10-05 05:45:00,2023-10-05 06:53:00,19.3,358,Completed,
T1035,D326,R4012,Delhi,Saket,Dwarka,2023-10-27 21:09:00,2023-10-27 21:19:00,2023-10-27 21:36:00,6.4,210,Completed,
T1036,D176,R3377,Bangalore,Koramangala,Indiranagar,2023-10-26 01:17:00,2023-10-26 01:27:00,2023-10-26 01:42:00,4.3,140,Completed,
T1037,D285,R2403,Delhi,Dwarka,Saket,2023-10-02 09:03:00,2023-10-02 09:12:00,2023-10-02 09:22:00,4.2,149,Completed,
T1038,D119,R2180,Delhi,Vasant Kunj,Rohini,2023-10-07 10:16:00,2023-10-07 10:20:00,2023-10-07 11:05:00,11.8,332,Completed,
T1039,D264,R1526,Delhi,Saket,Connaught Place,2023-10-28 22:25:00,2023-10-28 22:36:00,2023-10-28 22:54:00,5.3,155,Completed,
T1040,D159,R4213,Delhi,Connaught Place,Vasant Kunj,2023-10-12 14:33:00,2023-10-12 14:47:00,2023-10-12 14:56:00,2.5,95,Completed,
T1041,D162,R3111,Delhi,Vasant Kunj,Connaught Place,2023-10-27 00:30:00,2023-10-27 00:36:00,2023-10-27 02:08:00,24.0,459,Completed,
T1042,D218,R2082,Bangalore,HSR Layout,Whitefield,2023-10-02 21:53:00,,,0.0,0.0,Cancelled,Driver Not Found
T1043,D289,R1946,Bangalore,Indiranagar,Koramangala,2023-10-26 00:45:00,2023-10-26 00:50:00,2023-10-26 02:06:00,19.9,522,Completed,
T1044,D106,R1013,Mumbai,Andheri,Juhu,2023-10-29 20:47:00,2023-10-29 20:53:00,2023-10-29 21:04:00,4.6,155,Completed,
T1045,D179,R2669,Delhi,Dwarka,Vasant Kunj,2023-10-29 07:52:00,2023-10-29 08:05:00,2023-10-29 08:17:00,4.6,157,Completed,
T1046,D129,R2296,Bangalore,Jayanagar,Whitefield,2023-10-18 13:16:00,2023-10-18 13:31:00,2023-10-18 14:09:00,11.8,272,Completed,
T1047,D270,R1499,Delhi,Connaught Place,Rohini,2023-10-09 15:06:00,2023-10-09 15:19:00,2023-10-09 16:27:00,23.2,514,Completed,
T1048,D311,R4529,Mumbai,Powai,Bandra,2023-10-07 07:08:00,2023-10-07 07:23:00,2023-10-07 07:39:00,4.8,170,Completed,
T1049,D154,R2144,Mumbai,Colaba,Bandra,2023-10-20 18:40:00,2023-10-20 18:44:00,2023-10-20 18:54:00,3.1,103,Completed,
T1050,D259,R4991,Delhi,Saket,Rohini,2023-10-16 03:22:00,2023-10-16 03:29:00,2023-10-16 04:12:00,11.3,-225,Completed,
T1051,D264,R3434,Delhi,Saket,Dwarka,2023-10-30 21:30:00,2023-10-30 21:39:00,2023-10-30 22:03:00,8.5,208,Completed,
T1052,D263,R2740,Bangalore,Indiranagar,Jayanagar,2023-10-30 05:58:00,2023-10-30 06:02:00,2023-10-30 06:48:00,14.0,339,Completed,
T1053,D196,R4680,Delhi,Rohini,Vasant Kunj,2023-10-03 07:02:00,2023-10-03 07:13:00,2023-10-03 07:47:00,12.7,269,Completed,
T1054,D277,R2651,Mumbai,Colaba,Juhu,2023-10-16 05:29:00,2023-10-16 05:35:00,2023-10-16 06:09:00,10.7,264,Completed,
T1055,D283,R2125,Mumbai,Powai,Colaba,2023-10-07 16:31:00,2023-10-07 16:40:00,2023-10-07 17:47:00,21.6,567,Completed,
T1056,D350,R4527,Delhi,Connaught Place,Vasant Kunj,2023-10-25 04:13:00,2023-10-25 04:24:00,2023-10-25 04:56:00,9.7,283,Completed,
T1057,D130,R1830,Bangalore,Jayanagar,Indiranagar,2023-10-07 23:50:00,2023-10-08 00:01:00,2023-10-08 00:13:00,3.7,106,Completed,
T1058,D132,R3602,Mumbai,Powai,Juhu,2023-10-01 20:53:00,2023-10-01 20:57:00,2023-10-01 21:29:00,10.8,246,Completed,
T1059,D247,R4779,Bangalore,Indiranagar,Jayanagar,2023-10-03 02:55:00,2023-10-03 03:08:00,2023-10-03 04:36:00,23.9,639,Completed,
T1060,D328,R3627,Mumbai,Colaba,Andheri,2023-10-04 19:13:00,2023-10-04 19:28:00,2023-10-04 20:20:00,14.8,369,Completed,
T1061,D327,R2394,Mumbai,Colaba,Powai,2023-10-24 19:38:00,,,0.0,0.0,Cancelled,Driver Cancelled
T1062,D309,R4865,Mumbai,Colaba,Andheri,2023-10-02 21:01:00,2023-10-02 21:14:00,2023-10-02 21:51:00,9.8,232,Completed,
T1063,D319,R2764,Bangalore,HSR Layout,Whitefield,2023-10-27 17:56:00,2023-10-27 17:59:00,2023-10-27 18:26:00,8.1,184,Completed,
T1064,D264,R2193,Delhi,Dwarka,Rohini,2023-10-27 20:56:00,2023-10-27 21:06:00,2023-10-27 22:06:00,15.8,372,Completed,
T1065,D181,R1351,Bangalore,Jayanagar,Koramangala,2023-10-09 09:04:00,2023-10-09 09:10:00,2023-10-09 09:26:00,4.2,142,Completed,
T1066,D197,R3995,Mumbai,Bandra,Powai,2023-10-04 04:50:00,2023-10-04 05:01:00,2023-10-04 06:25:00,24.6,556,Completed,
T1067,D193,R4539,Mumbai,Powai,Andheri,2023-10-03 09:29:00,2023-10-03 09:41:00,2023-10-03 10:39:00,15.7,423,Completed,
T1068,D266,R4395,Bangalore,Koramangala,Indiranagar,2023-10-20 14:59:00,2023-10-20 15:10:00,2023-10-20 15:32:00,8.0,182,Completed,
T1069,D350,R4447,Delhi,Saket,Vasant Kunj,2023-10-04 05:24:00,2023-10-04 05:38:00,2023-10-04 06:39:00,15.5,429,Completed,
T1070,D233,R1717,Delhi,Saket,Vasant Kunj,2023-10-20 23:53:00,2023-10-20 23:57:00,2023-10-21 01:05:00,17.9,451,Completed,
T1071,D161,R4436,Bangalore,Whitefield,Koramangala,2023-10-22 14:28:00,2023-10-22 14:40:00,2023-10-22 15:39:00,21.7,434,Completed,
